house_age,sqft_living,sqft_lot,bedrooms,bathrooms,floors,grade,condition,waterfront,view,yr_built,yr_renovated,lat,long,interest_rate,unemployment_rate,month_sold,quarter_sold,price,zipcode,has_basement,garage_size
18.727005942368123,1677.6755768115768,2864.4677455504034,1,1.5760487529038465,2.0,7,5,0,0,2021,0,47.54259246346422,-122.44590368575018,4.992463695654059,3.4150209873929738,4,2,366000.0,98083,1,3
47.53571532049581,1611.4045958239992,3241.7260214939733,1,3.5199946697318287,1.0,8,2,0,1,1982,0,47.799182686200915,-122.39966405611132,3.934439539048411,5.5608394208380085,6,2,330000.0,98177,1,1
36.59969709057025,4578.145612344665,6122.451378945967,3,3.1747382398733186,2.0,10,2,0,2,1984,1998,47.61278758431167,-122.22708703815915,4.998266576720639,4.637502517544503,9,3,1103000.0,98005,1,1
29.93292420985183,1622.9578993227774,2015.3677182409474,5,3.684285961037485,1.5,3,2,0,4,1965,0,47.550096562756096,-122.34562859348273,4.863268766388712,4.6781449623705775,10,4,292000.0,98047,0,2
7.800932022121826,1723.7737675788394,2107.34776008764,5,1.3526717473628098,1.0,7,4,0,0,1985,0,47.554344325336636,-122.24698022215257,2.5358330090159837,6.178044982725849,3,1,323000.0,98024,0,0
7.799726016810133,3917.292180880837,4526.823479596173,3,3.9706676038452215,1.5,6,2,0,0,2015,0,47.477983798413405,-122.28547848803251,3.4986847331113493,3.815490030758101,4,2,726000.0,98121,0,3
2.9041806084099733,2523.82929102743,3309.8712710754007,4,1.6282201418498008,2.0,6,5,0,4,2005,2001,47.60488922297901,-122.28037882405692,3.1618203217632317,6.832766851698655,6,2,594000.0,98095,1,0
43.308807288746756,3995.1975062983156,4871.2631109744325,1,1.035339628859926,1.5,4,2,0,1,1966,1999,47.5755420112672,-122.40058017682088,3.0844522352987234,5.910154598893174,6,2,489000.0,98172,1,2
30.05575058716044,794.1477090397336,2185.5724210230896,1,3.9922688171606624,1.0,12,3,0,0,1969,2012,47.508318118538966,-122.29138278689273,5.049668394423964,7.574723144237555,7,3,266000.0,98196,1,1
35.40362888980228,2694.0703715302293,2901.7631926453164,3,1.8432216563353394,1.5,3,5,0,0,1957,0,47.4642160346407,-122.49056211445472,3.338429721825936,4.824203268837617,1,1,323000.0,98142,0,1
